path,author,sex,birthday,header,created,sphere,genre_fi,type,topic,chronotop,style,audience_age,audience_level,audience_size,source,publication,publisher,publ_year,medium,country,region,language./dump/2012\05\260-gendirektorrtrsandreyromanchenkooproblemahzamenitsifrovihtvstandartov.html.txt,,,,"Гендиректор РТРС Андрей Романченко о проблемах замены цифровых ТВ-стандартов",25.05.2012,публицистика,,,nashi_intervu,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/nashi_intervu/260-gendirektorrtrsandreyromanchenkooproblemahzamenitsifrovihtvstandartov.html,"Унечская газета",,2012,газета,Россия,ru
./dump/2015\06\1645-rabotayushchimshkolnikamistudentamneobhodimsnils.html.txt,,,,"Работающим школьникам и студентам  необходим  СНИЛС",24.06.2015,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1645-rabotayushchimshkolnikamistudentamneobhodimsnils.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2014\12\1246-za10mesyatsevvpfrobratilos85pravopreemnikov.html.txt,,,,"За 10 месяцев в ПФР обратилось 85 правопреемников",1.12.2014,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1246-za10mesyatsevvpfrobratilos85pravopreemnikov.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2015\04\1540-viplatasredstvpensionnihnakopleniy.html.txt,,,,"ВЫПЛАТА СРЕДСТВ ПЕНСИОННЫХ НАКОПЛЕНИЙ",23.04.2015,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1540-viplatasredstvpensionnihnakopleniy.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2014\10\1217-viplatasredstvpensionnihnakopleniy.html.txt,,,,"ВЫПЛАТА СРЕДСТВ ПЕНСИОННЫХ НАКОПЛЕНИЙ",23.10.2014,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1217-viplatasredstvpensionnihnakopleniy.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2015\08\1709-oviplatesredstvpensionnihnakopleniy.html.txt,,,,"О ВЫПЛАТЕ СРЕДСТВ ПЕНСИОННЫХ НАКОПЛЕНИЙ",14.08.2015,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1709-oviplatesredstvpensionnihnakopleniy.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\09\1739-oviplatesredstvpensionnihnakopleniy.html.txt,,,,"О ВЫПЛАТЕ СРЕДСТВ ПЕНСИОННЫХ НАКОПЛЕНИЙ",14.09.2015,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1739-oviplatesredstvpensionnihnakopleniy.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\12\1892-dokontsagodaviberitevariantpensionnogoobespecheniyavsistemeobyazatelnogopensionnogostrahovaniya.html.txt,,,,"До конца года выберите вариант пенсионного обеспечения в системе обязательного пенсионного страхования",7.12.2015,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1892-dokontsagodaviberitevariantpensionnogoobespecheniyavsistemeobyazatelnogopensionnogostrahovaniya.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2015\01\1331-viborvariantapensionnogoobespecheniya.html.txt,,,,"Выбор варианта пенсионного обеспечения",19.01.2015,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1331-viborvariantapensionnogoobespecheniya.html,"Унечская газета",,2015,газета,Россия,ru
./dump/2014\12\1305-pensionnayasistemachtozhdetrossiyanv2015godu.html.txt,,,,"ПЕНСИОННАЯ СИСТЕМА: ЧТО ЖДЕТ РОССИЯН В 2015 ГОДУ",26.12.2014,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1305-pensionnayasistemachtozhdetrossiyanv2015godu.html,"Унечская газета",,2014,газета,Россия,ru
./dump/2014\12\1243-novayapensionnayaformulachemvishezarplatatembolsheballov.html.txt,,,,"Новая пенсионная формула: чем выше зарплата, тем больше баллов",1.12.2014,публицистика,,,main,,нейтральный,н-возраст,н-уровень,районная,http://unecha-gazeta.ru/main/informiruet_pfr/1243-novayapensionnayaformulachemvishezarplatatembolsheballov.html,"Унечская газета",,2014,газета,Россия,ru
