uid,sex,age,"langs"
163096064,1,25,""
172037064,1,20,""
162689548,1,,""
162279220,1,15,"Русский,English"
161782293,1,,""
161382463,2,,""
161151492,2,,""
160987458,1,30,""
160792574,1,,""
160469768,2,14,""
187215768,2,28,""
160131863,2,24,""
159644430,1,,""
159541362,2,22,""
159502317,2,16,""
159417307,2,18,""
159388264,1,16,""
159355719,2,26,""
159302269,2,25,""
159013585,1,18,""
158826689,2,24,""
158261643,1,27,""
158076507,1,23,""
158024323,2,24,""
157950492,2,17,""
157314233,2,,""
157184581,2,15,""
284655581,1,,""
156769767,2,20,""
156658509,1,,""
156577638,2,24,""
156536170,2,26,""
156353831,2,20,""
156231177,2,15,""
204253177,2,,""
156067833,2,38,""
225955833,1,,"Русский,English"
172663833,2,15,""
176429833,2,32,""
155932941,2,16,""
155708078,1,,""
155698006,1,,""
155556959,2,20,""
155444298,2,16,""
154657221,2,19,""
166586221,1,16,""
154645804,1,,""
154634666,2,,""
217441666,1,,"Русский,English,Français"
154498545,2,,""
154335602,2,,""
154240824,1,,""
154210231,1,,"English"
154090904,2,25,""
154074920,2,20,""
154024212,2,18,""
153962930,2,,""
160738930,1,22,""
153888895,2,26,""
153728016,2,,""
153581899,1,,""
153414834,2,,""
180355834,2,15,""
153326972,1,17,""
153294480,1,19,""
207867480,2,,""
159997480,2,15,""
152812502,2,,""
152783972,2,,""
189736972,2,22,""
294771972,2,,""
152756639,2,,""
152674774,2,18,""
185972774,1,,""
152623657,2,,""
157412657,1,15,"Русский,English,Беларуская"
152402015,2,24,"Русский,日本語"
152275079,2,20,"Русский,Deutsch,Français"
181464079,2,18,""
152273246,2,,""
152092754,2,,""
151777741,2,,""
189390741,2,,""
151749524,2,,""
151453256,2,32,""
174009256,2,,""
151327422,2,15,""
151286384,1,,""
150876201,2,,""
150383440,2,16,""
149664358,2,,"Русский,Lingua Latina"
322688358,1,28,""
148036560,2,20,""
148013049,1,,""
226223049,2,22,""
147887022,2,,""
168942022,1,95,""
147707890,2,,""
147606945,2,23,""
147388924,2,,""
262059924,2,,""
147373968,2,21,""
146600970,1,21,""
